dataset,L,K,point_precision,point_recall,point_f1,candidate_size,exact_r25_candidate_size,candidate_to_true_ratio,candidate_expansion_ratio,query_time_ms,mean_hamming_threshold
amazon,20,120,0.398792517905735,0.1313451776649746,0.1565946849304085,35.225,197.0,0.1788071065989848,0.1788071065989848,27.75517814999091,32.8625
amazon,20,122,0.3901614596764909,0.11345177664974619,0.13860566422422985,27.8,197.0,0.14111675126903553,0.14111675126903553,25.368888475009044,32.03125
amazon,20,124,0.4098280092440157,0.10304568527918781,0.12819648485901977,24.6,197.0,0.1248730964467005,0.1248730964467005,23.450537499991242,32.13125
amazon,20,126,0.3806317648024965,0.08451776649746193,0.10626517107680292,19.05,197.0,0.0967005076142132,0.0967005076142132,24.2055313499975,31.225
amazon,20,128,0.32496944953194956,0.06941624365482232,0.08965145176309622,15.0,197.0,0.07614213197969542,0.07614213197969542,24.662861374991962,30.30625
cifar10,20,2,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.421395824995898,0.0
cifar10,20,4,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.3804905749955196,0.0
cifar10,20,6,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.3827332750045116,0.0
cifar10,20,8,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,6.364670799999317,0.0
cifar10,20,10,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.4712947249994954,0.0
cifar10,20,12,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.4490657499967483,1.0118055555555556
cifar10,20,14,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.3986916749976217,1.1984911616161615
cifar10,20,16,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.439260450005065,1.5644507575757576
cifar10,20,18,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.4384801750059637,2.0277777777777777
cifar10,20,20,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.510546924999346,2.120492424242424
cifar10,20,22,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.6230593500002897,3.3595770202020203
cifar10,20,24,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.510619749998,3.6324873737373737
cifar10,20,26,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.411387525008024,4.171912878787879
cifar10,20,28,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.4152084249962513,5.374564393939394
cifar10,20,30,0.25,1.0,0.39999999999967994,1800.0,450.0,4.0,4.0,2.4082406499957187,6.089141414141414
